Geneset/Pathway	Fold Change	Average Expression	t.statistic	P.Value	adj.P.Val	log-odds-ratio	Pathway MemberGenes
TNF alpha/NF-kB down reg. targets (Netpath)	-3.960611183	8.499226929	-0.462636875	0.65248663	0.826048074	-6.130601706	
Staphylococcus aureus infection (KEGG)	-2.578858785	5.295876008	-0.457478382	0.656077338	0.828267918	-6.133042989	"NA,MASP2,CFD,DSG1,FCAR,FCGR1A,FCGR2A,FCGR2B,FCGR3A,FCGR3B,FGG,FPR1,FPR2,FPR3,CFH,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5,ICAM1,CFI,IL10,ITGAL,ITGAM,ITGB2,KRT10,MBL2,PLG,MASP1,PTAFR,CFB,SELP,SELPLG,C1QA,C1QB,C1QC,C1R,C1S,C2,C3,C3AR1,C4A,C4B,C5,C5AR1,FCGR2C"
Selenocompound metabolism (KEGG)	-4.918555718	5.478181283	-0.456359993	0.656857022	0.828267918	-6.133568799	"TXNRD2,INMT,TXNRD3,PSTK,CTH,SEPHS2,SEPHS1,MARS,MTR,SEPSECS,SCLY,KYAT3,TXNRD1,KYAT1,PAPSS2,PAPSS1,MARS2"
IL-3 up reg. targets (Netpath)	-3.840358916	5.608978462	0.453977843	0.658519154	0.828712971	-6.134684639	"SOCS1,RARA,PIM1,OSM,TNF,ODC1,SOCS2,SOCS3,SPP1,TGFA,TGFB1,USP36,CISH,CCL7,NFIL3,MYC,MYB,CSF2RA,CSF1,CD86,CD69,CCR1,CCL4,CCL3,CCL2,BCL2L1,BCL2,CSF2RB,FCER2,CLNK,MCL1,MATK,KIT,CXCL8,IL6R,IL3RA,IL1B,HBB,FOS,ANXA2"
Sulfur metabolism (KEGG)	-4.644480909	5.345574689	0.45049005	0.66095621	0.830129526	-6.136308239	"BPNT1,CHST13,SULT1A4,CHST11,CHST12,SULT1E1,SULT1A2,SULT1A1,SULT1A3,SULT2B1,SUOX,PAPSS2,PAPSS1"
Arachidonic acid metabolism (KEGG)	-3.953267754	5.742566905	-0.445653972	0.664342145	0.832729856	-6.138539521	"PLA2G4B,CYP2U1,PLA2G4E,GGT6,PLB1,CYP2B6,CYP2C19,CYP2C8,CYP2C9,CYP2C18,CYP2E1,CYP2J2,CYP4A11,EPHX2,ALOX12,ALOX5,ALOX12B,ALOX15,ALOX15B,GPX6,PLA2G2D,GGT1,GGT7,GGT5,HPGDS,CYP4A22,GPX1,GPX2,GPX3,GPX5,GPX7,PLA2G2E,PLA2G2C,LTA4H,CYP4F3,LTC4S,PLA2G3,PLA2G1B,PLA2G2A,PLA2G4A,PLA2G5,PTGDS,PTGIS,PTGS1,PTGS2,CYP4F11,PLA2G2F,TBXAS1,PTGES2,PLA2G12A,PLA2G6,PLA2G10,PLA2G12B,CYP4F2,AKR1C3,JMJD7-PLA2G4B,CBR1,CBR3,PTGES"
Selenium Pathway (Wikipathways)	-4.960274821	6.55783378	0.438127019	0.669627604	0.837696192	-6.141966129	"NA,PRDX4,PRDX3,SERPINA3,CRP,CTH,DIO1,ABCA1,ALB,F2,F7,ALOX5,ALOX5AP,ALOX15B,PRDX5,GGT1,GSR,HBA1,HBA2,HBB,APOA1,APOB,ICAM1,IFNG,IL1B,IL6,INS,INSR,LDLR,MPO,MTHFR,MTR,NFKB1,NFKB2,PRDX1,SERPINE1,PLAT,PLG,PNPO,RFK,PTGS1,PTGS2,RELA,SAA1,SAA2,SAA4,CCL2,SOD1,SOD2,SOD3,PRDX2,TNF,INS-IGF2,TXN,XDH,FLAD1,CAT,KMO,CBS,KYNU,SCARB1"
"{POR,15} (Static Module)"	-4.77399602	4.598250996	-0.434662129	0.672066964	0.839089523	-6.143524571	"ALKBH3,CYP1A1,CYP1A2,CYP2C18,CYP2C19,CYP2C8,CYP2C9,CYP2D6,CYP2F1,CYP3A4,CYP3A7,CYP51A1,CYP7B1,DHODH,POR"
Amoebiasis (KEGG)	-4.954300834	6.632792422	0.429240137	0.675892064	0.842204088	-6.145939299	"LAMC3,ADCY1,COL1A1,COL1A2,COL2A1,COL3A1,COL4A1,COL4A2,COL4A4,COL4A5,COL4A6,COL5A1,COL5A2,COL11A1,COL11A2,CSF2,CTSG,SERPINB1,LAMB4,PLCB1,FN1,PIK3R5,GNA11,GNA15,GNAL,GNAQ,GNAS,LAMA1,CXCL1,HSPB1,RAB7B,IFNG,IL1B,IL1R1,IL6,CXCL8,IL10,IL12A,IL12B,ITGAM,ITGB2,ARG1,ARG2,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMB3,LAMC1,LAMC2,MUC2,NFKB1,NOS2,COL5A3,SERPINB2,SERPINB6,SERPINB9,SERPINB10,SERPINB13,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PLCB2,PLCB3,PLCB4,PRKACA,PRKACB,PRKACG,PRKCA,PRKCB,PRKCG,PRKX,PTK2,RAB5A,RAB5B,RAB5C,RELA,SERPINB3,SERPINB4,TGFB1,TGFB2,TGFB3,TLR2,TLR4,TNF,C8A,C8B,C8G,C9,VCL,IL1R2,RAB7A,ACTN4,CASP3,PIK3R3,ACTN1,ACTN2,ACTN3,CD1D,CD14,GNA14"
One Carbon Metabolism (Wikipathways)	-5.080640345	5.292911265	-0.42521824	0.678735602	0.844085729	-6.147711558	"NA,MTHFS,MTHFD2,ALDH1L1,FTCD,MTFMT,DHFR,DNMT1,DNMT3A,DNMT3B,AHCY,AHCYL2,FOLH1,MTHFD1L,GART,MAT2B,AMT,MAT1A,MTHFD1,MTHFR,MTR,MTRR,ATIC,BHMT,SHMT1,SHMT2,TCN2,TYMS"
"{VAMP2,63} (Static Module)"	-5.122701805	5.547794272	-0.407717125	0.691169393	0.856467327	-6.155235394	"CPLX1,CPLX2,DOC2A,DOC2B,LNPEP,NAPA,NAPB,PAFAH1B3,RAB3A,RAB3B,RAB3D,RAB3GAP1,RAB3GAP2,RAB3IP,RIMS1,SDCBP,SDCBP2,SLC17A7,SLC18A2,SLC18A3,SLC6A1,SLC6A5,SLC6A9,SNAP23,SNAP25,SNAP29,SNAPIN,SNPH,STX10,STX11,STX12,STX1A,STX1B,STX2,STX3,STX4,STX6,STX7,STX8,STXBP1,STXBP2,STXBP3,STXBP4,STXBP5,STXBP6,SYT1,SYT2,SYT3,SYT4,SYT5,TSNARE1,UNC13B,UNC13D,VAMP1,VAMP2,VAMP3,VAMP4,VAMP7,VAMP8,VTI1A,VTI1B,YKT6"
"{ROCK1,10} (Static Module)"	-3.949090196	9.006986764	-0.402964192	0.69456279	0.856467327	-6.157225791	"CLK1,MLC1,MYLK,PKIA,PPP1CB,PPP1R12A,PPP1R12B,PPP1R14A,ROCK1,ROCK2"
Androgen Receptor Signaling Pathway (Wikipathways)	-5.031679835	6.614622311	-0.402874269	0.694627059	0.856467327	-6.15726323	"NA,RANBP9,HIPK3,CDK7,CDK9,STUB1,PIAS3,NCOA2,KAT5,PNRC1,CDC37,KAT7,COX5B,ATF2,CREBBP,CTNNB1,AES,NR0B1,EGFR,EP300,AKT1,ESR1,ESR2,ETV5,FHL2,RAD54L2,FLNA,PATZ1,NR5A1,SPDEF,RCHY1,SIN3A,GAPDH,APPL1,GHR,NR3C1,SLC25A4,GTF2F1,GTF2F2,GTF2H1,SENP1,PSMC3IP,HDAC1,HMGB1,HMGB2,PRMT1,HSPA1A,HSPA1B,IGF1,IL6,IL6ST,AR,JUN,SMAD3,SMAD4,MDM2,MMP1,CARD17,PA2G4,PIAS4,PLAGL1,POU2F1,POU2F2,MAPK1,MAP2K1,PAK6,PTEN,BAG1,PXN,RAC3,RAF1,RAN,RB1,CCND1,RELA,RNF4,NSD1,LOC644006,SP1,SRC,BRCA1,SRY,STAT3,SVIL,TGFB1I1,TGIF1,TMF1,TP53,NR2C2,UBE2I,UBE3A,YWHAH,NCOA4,CALR,NCOA3,NRIP1,CASP1,CASP3,CASP7,UXT,CASP8,NR0B2,PIAS1,CAV1,RUNX2,RUNX1,NCOA1,KAT2B,CCNE1,CCNH,PIAS2,CTDP1,RNF14,NCOR2,CDK1,CDC25B"
Serotonin Receptor 2 and ELK-SRF/GATA4 signaling (Wikipathways)	-5.202619607	5.906006057	-0.399793863	0.696830161	0.856467327	-6.158540844	
DNA damage response (only ATM dependent) (Wikipathways)	-4.848936956	6.611023047	-0.399688648	0.696905463	0.856467327	-6.158584315	"BCL2L11,FRAT1,NA,CDKN1A,CDKN1B,CTNNB1,DVL1,DVL2,DVL3,MLKL,ERBB2,FOXO3,ABL1,G6PC,GRB2,GSK3B,HMGB1,APC,FASLG,INSR,IRS1,JUN,RHOA,LDLR,SMAD3,SMAD4,MDM2,MAP3K1,MAP3K4,MYC,ATM,PCK2,WNT16,PDK1,PLAU,PMAIP1,WNT4,PPP2R5C,PPP2R5E,MAPK1,MAPK8,MAPK9,MAPK10,BAD,PTEN,BAK1,BAX,RAC1,RAC2,RBL2,CCND1,BCL2,BCL6,SCP2,BIK,SHC1,NA,SOD2,SOS1,SOS2,MAP3K7,TGFB1,TP53,TP73,WNT1,WNT2,WNT3,WNT5A,WNT6,WNT7A,WNT7B,WNT10B,WNT11,WNT2B,WNT10A,FOSL1,WNT5B,AXIN1,CAT,CCND2,CCND3,WNT3A,CCNG2,CDC42"
"Glycine, serine and threonine metabolism (KEGG)"	-4.562636949	6.151618768	-0.398663279	0.697639486	0.856467327	-6.159007373	"SDS,GLYCTK,CTH,DAO,DLD,SARDH,AGXT,ALAS1,ALAS2,GCAT,GAMT,PHGDH,GATM,GNMT,GLDC,AMT,DMGDH,PSAT1,AOC2,MAOA,MAOB,ALDH7A1,PIPOX,CHDH,PSPH,BHMT,SRR,SHMT1,SHMT2,AGXT2,AOC3,CBS"
Osteoclast Signaling (Wikipathways)	-4.591116374	5.05747654	-0.395874792	0.699637289	0.856467327	-6.160152538	"CTSK,IFNAR1,IFNB1,ITGB3,TNFRSF11B,PDGFB,ACP5,TRPV5,SLC9A1,SPP1,GPR68,TNFSF11,TNFRSF11A,ATP6V1G1"
"{CNOT2,13} (Static Module)"	-5.181842363	6.197478841	-0.395716002	0.699751124	0.856467327	-6.160217514	"BTG1,BTG2,BTG3,CHAF1B,CNOT1,CNOT2,CNOT3,CNOT4,CNOT6,CNOT7,CNOT8,TOB1,TOB2"
Type II interferon signaling (IFNG) (Wikipathways)	-3.949193481	6.5411041	-0.393803476	0.701122811	0.856467327	-6.160998124	"IRF9,HIST4H4,CYBB,IFI6,GBP1,HLA-B,ICAM1,IRF8,IFIT2,IFNA2,IFNB1,IFNG,IFNGR1,IFNGR2,IL1B,CXCL10,IRF1,IRF2,IRF4,JAK1,JAK2,CIITA,CXCL9,NOS2,OAS1,HIST2H4B,PRKCD,EIF2AK2,PSMB9,PTPN11,REG1A,SPI1,STAT1,STAT2,TAP1,HIST1H4I,HIST1H4A,HIST1H4D,HIST1H4F,HIST1H4K,HIST1H4J,HIST1H4C,HIST1H4H,HIST1H4B,HIST1H4E,HIST1H4L,HIST2H4A,SOCS1,SOCS3,ISG15"
IL-3 down reg. targets (Netpath)	-4.016778656	5.380576308	0.392271971	0.702222026	0.856467327	-6.161620568	"CDKN1B,FOS,CCR3,IL5RA,CSF1R,CTSK,SRC,TNFRSF1A,TNFRSF1B,HRK"
IL-1 Signaling Pathway (Wikipathways)	-4.661985169	5.227472472	0.388029552	0.705270658	0.858531397	-6.163332487	"SIRPA,IL1A,IL1B,IL1R1,IL1RAP,IL1RN,IRAK1,IRAK2,MYD88,IRAK4,TRAF6,IL1R2"
Small Ligand GPCRs (Wikipathways)	-4.015538043	5.561999818	0.382632633	0.709156719	0.861604996	-6.165484108	"CNR1,CNR2,S1PR1,LPAR1,S1PR3,MTNR1A,MTNR1B,PTAFR,PTGDR,PTGER1,PTGER2,PTGER3,PTGER4,PTGFR,PTGIR,TBXA2R,S1PR4,S1PR2"
Notch up reg. targets (Netpath)	-5.257145259	6.504210545	-0.369857431	0.718389769	0.871150812	-6.170460308	"COL4A1,CCND1,CDKN1A,CSF1R,CDKN1B,CFLAR,CR2,HEY1,CASP3,SPI1,SYT11,HNF1A,HNF1B,TEAD2,TNFRSF1A,VTN,ZNF148,RNF2,RARB,RARA,NOD1,BIRC3,BCL2L1,B4GALT2,ACADM,ABCC8,ABCA2,PTPN2,ZNF708,CTSK,PTCRA,KRT7,KRT19,KRT18,KIT,JAG1,ITGB4,ICAM5,ICAM2,LCP2,MAG,NRARP,PIK3R2,PIK3R1,PDCD7,NA,NOTCH3,NOTCH1,MYCL,MSI1,HOXC8,HOXB6,HIF1A,EN1,EIF2B1,EIF2AK4,EGR3,EFNB2,DTX1,DLL4,DCXR,ERBB2,EYA3,FBLN1,HEYL,HEY2,HES7,HES5,HES1,GSTA1,GATA3,FN1,DAPK1"
Glycosaminoglycan degradation (KEGG)	-5.084987604	6.073230595	-0.367206852	0.720311369	0.871561153	-6.171472133	"HPSE,HGSNAT,HYAL4,GALNS,GLB1,GNS,GUSB,HEXA,HEXB,HYAL1,IDS,IDUA,ARSB,NAGLU,HPSE2,SGSH,SPAM1,HYAL3,HYAL2"
"{PTPRF,10} (Static Module)"	-4.765096197	7.685503006	-0.363814373	0.722773762	0.871561153	-6.172756811	"PPFIA1,PPFIA2,PPFIA3,PPFIBP1,PPFIBP2,PTPRA,PTPRD,PTPRE,PTPRF,PTPRS"
EPO Receptor Signaling (Wikipathways)	-4.931871309	6.515752814	-0.363697329	0.722858776	0.871561153	-6.172800926	"PTPRU,CISH,EPO,EPOR,AKT1,GRB2,IRS1,JAK2,PDK1,PIK3CG,MAPK1,MAPK3,MAP2K1,MAP2K2,PTPRC,RAF1,RASA1,SHC1,SOS1,SRC,STAT1,STAT3,STAT5A,STAT5B,SOCS1,IRS2"
Toll-like receptor signaling pathway (KEGG)	-5.199173608	6.005058602	-0.359583944	0.725848958	0.873502643	-6.174342506	"AKT3,TLR6,TAB1,TIRAP,CHUK,MAP3K8,MAPK14,TICAM1,CTSK,AKT1,AKT2,TAB2,FOS,PIK3R5,LY96,TBK1,IFNA1,IFNA2,IFNA4,IFNA5,IFNA6,IFNA7,IFNA8,IFNA10,IFNA13,IFNA14,IFNA16,IFNA17,IFNA21,IFNAR1,IFNAR2,IFNB1,TICAM2,IKBKB,IL1B,IL6,CXCL8,IL12A,IL12B,CXCL10,IRAK1,IRF3,IRF5,IRF7,JUN,LBP,CXCL9,MYD88,NFKB1,NFKBIA,IRAK4,TLR7,TLR8,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,TLR9,TOLLIP,MAPK1,MAPK3,MAPK8,MAPK11,MAPK9,MAPK10,MAPK13,MAP2K1,MAP2K2,MAP2K3,MAP2K6,MAP2K7,RAC1,RELA,MAPK12,CCL3,CCL4,CCL5,CXCL11,MAP2K4,SPP1,STAT1,MAP3K7,TLR1,TLR2,TLR3,TLR4,TLR5,TNF,TRAF3,TRAF6,CASP8,PIK3R3,IKBKG,RIPK1,FADD,CD14,CD80,CD86,CD40,IKBKE"
Toll-like receptor signaling pathway (Wikipathways)	-5.225282866	6.013004365	-0.352698154	0.730865155	0.87787029	-6.176884777	"AKT3,TLR6,TAB1,TIRAP,CHUK,MAP3K8,MAPK14,TICAM1,AKT1,AKT2,TAB2,FOS,PIK3R5,LY96,TBK1,IFNA1,IFNA2,IFNA4,IFNA5,IFNA6,IFNA7,IFNA8,IFNA10,IFNA13,IFNA14,IFNA16,IFNA17,IFNA21,IFNAR1,IFNAR2,IFNB1,TICAM2,IKBKB,IL1B,IL6,CXCL8,IL12A,IL12B,CXCL10,IRAK1,IRF3,IRF5,IRF7,JUN,LBP,CXCL9,MYD88,NFKB1,NFKB2,NFKBIA,IRAK4,TLR7,TLR8,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,TLR9,TOLLIP,MAPK1,MAPK3,MAPK8,MAPK11,MAPK9,MAPK10,MAPK13,MAP2K1,MAP2K2,MAP2K3,MAP2K6,MAP2K7,RAC1,RELA,MAPK12,CCL3,CCL4,CCL5,CXCL11,MAP2K4,SPP1,STAT1,MAP3K7,TLR1,TLR2,TLR3,TLR4,TLR5,TNF,TRAF3,TRAF6,CASP8,PIK3R3,IKBKG,RIPK1,FADD,CD14,CD80,CD86,CD40,IKBKE"
Glycosaminoglycan biosynthesis - heparan sulfate (KEGG)	-5.296903555	6.158767062	-0.342024385	0.738666735	0.885560688	-6.18073061	"B4GALT7,B3GALT6,B3GAT2,EXT1,EXT2,EXTL1,EXTL2,EXTL3,HS3ST5,GLCE,B3GAT3,HS6ST3,B3GAT1,NDST1,XYLT1,XYLT2,NDST4,NDST2,HS6ST2,NDST3,HS6ST1,HS2ST1,HS3ST3B1,HS3ST3A1,HS3ST2,HS3ST1"
Apoptosis (KEGG)	-5.37336218	5.974016404	0.339614932	0.740432117	0.885999111	-6.181582757	"AKT3,IRAK3,CHP1,CHUK,CSF2RB,DFFA,DFFB,ENDOG,AKT1,AKT2,PIK3R5,APAF1,BIRC2,BIRC3,XIAP,FAS,IKBKB,IL1A,IL1B,IL1R1,IL1RAP,FASLG,IL3,IL3RA,IRAK1,IRAK2,MYD88,ATM,NFKB1,NFKBIA,NGF,NTRK1,IRAK4,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,CYCS,PPP3CA,PPP3CB,PPP3CC,PPP3R1,PPP3R2,PRKACA,PRKACB,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKX,BAD,BAX,BCL2,RELA,BCL2L1,BID,CHP2,NA,TNF,TNFRSF1A,TP53,TRAF2,CAPN1,CAPN2,CASP3,CASP6,CASP7,CASP8,CASP9,CASP10,PIK3R3,IKBKG,TRADD,RIPK1,TNFSF10,FADD,TNFRSF10D,TNFRSF10C,TNFRSF10B,TNFRSF10A,CFLAR,MAP3K14,AIFM1"
DNA damage response (Wikipathways)	-5.419227734	5.574175234	-0.336736382	0.742543243	0.886209081	-6.182593077	"RAD50,CDK2,CDK4,CDK5,CDK6,CDKN1A,CDKN1B,GADD45G,TLK2,CHEK1,CHEK2,HUS1B,CREB1,DDB2,GADD45A,E2F1,FANCD2,ABL1,BBC3,SESN1,SFN,H2AFX,APAF1,FAS,MDM2,MRE11,MYC,GADD45B,NBN,ATM,RRM2B,PMAIP1,PML,CYCS,ATR,PIDD1,PRKDC,BAX,RAD1,RAD9A,RAD17,RAD51,RAD52,RB1,CCND1,RFC1,RPA2,BID,TP53AIP1,NA,NA,NA,NA,BRCA1,TP53,NA,SMC1A,CASP3,CASP8,ATRIP,CASP9,CCNB3,TNFRSF10B,CCNB1,CCND2,CCND3,CCNE1,CCNB2,CCNE2,CDK1,TLK1,CDC25A,CDC25C"
Signaling by BMP (Reactome)	-4.818298939	6.794623591	-0.335558665	0.743407618	0.886209081	-6.183004008	"ACVR2A,ACVR2B,BMP2,BMPR1A,BMPR1B,BMPR2,CER1,CHRDL1,FSTL1,GREM2,NOG,SKI,SMAD1,SMAD4,SMAD5,SMAD6,SMAD7,SMAD9,SMURF1,SMURF2,UBE2D1,UBE2D3,ZFYVE16"
Oxidative Stress (Wikipathways)	-4.709213466	6.328723845	0.328417947	0.748656331	0.888000271	-6.185465353	"MAPK14,CYBA,CYP1A1,NQO1,FOS,TXN2,GCLC,GSR,GSTT2,HMOX1,JUNB,MAOA,MGST1,MT1X,NFIX,NFKB1,NOX4,UGT1A6,MAPK10,GSTT2B,SOD1,SOD2,SOD3,SP1,XDH,CAT"
Signaling by VEGF (Reactome)	-4.975825135	4.916048592	0.324594714	0.751472042	0.888000271	-6.186761859	"VEGFD,FLT1,FLT4,KDR,NRP1,NRP2,PDGFC,PGF,VEGFA,VEGFB,VEGFC"
Jak-STAT signaling pathway (KEGG)	-5.260728776	6.190164659	0.32196465	0.753411208	0.888000271	-6.187645102	"AKT3,SPRY3,SPRY1,SPRY2,STAM2,IRF9,PIAS3,IL24,CISH,IL22RA2,SOCS4,CNTF,CNTFR,CREBBP,CSF2,CSF2RA,CSF2RB,CSF3,CSF3R,CSH1,CTF1,IL23R,SPRED1,IFNLR1,SPRED2,EP300,EPO,EPOR,AKT1,AKT2,CLCF1,PIK3R5,CBLC,GH1,GH2,GHR,IFNL2,IFNL3,IFNL1,GRB2,IL19,SOCS7,IFNE,IFNA1,IFNA2,IFNA4,IFNA5,IFNA6,IFNA7,IFNA8,IFNA10,IFNA13,IFNA14,IFNA16,IFNA17,IFNA21,IFNAR1,IFNAR2,IFNB1,IFNG,IFNGR1,IFNGR2,IFNW1,IL2,IL2RA,IL2RB,IL2RG,IL3,IL3RA,IL4,IL4R,IL5,IL5RA,IL6,IL6R,IL6ST,IL7,IL7R,IL9,IL9R,IL10,IL10RA,IL10RB,IL11,IL11RA,IL12A,IL12B,IL12RB1,IL12RB2,IL13,IL13RA1,IL13RA2,IL15,IL15RA,JAK1,JAK2,JAK3,LEP,LEPR,LIF,LIFR,MPL,MYC,OSM,IL20,IL21R,IL22,IL23A,PIAS4,PIK3CA,PIK3CB,PIM1,PIK3CD,PIK3CG,PIK3R1,PIK3R2,IL20RA,IL20RB,IL26,PRL,PRLR,IFNK,PTPN6,PTPN11,IL22RA1,IL21,CCND1,BCL2L1,CRLF2,SOS1,SOS2,STAT1,STAT2,STAT3,STAT4,STAT5A,STAT5B,STAT6,TPO,TYK2,STAM,SPRY4,PIK3R3,TSLP,PIAS1,SOCS1,CBL,CBLB,SOCS2,CCND2,CCND3,SOCS3,PIAS2,OSMR,SOCS5"
"{EXOSC10,15} (Static Module)"	-5.595921463	5.254742364	0.31996159	0.754889269	0.888000271	-6.188313053	"AURKAIP1,DIS3,EXOSC1,EXOSC10,EXOSC2,EXOSC3,EXOSC4,EXOSC5,EXOSC6,EXOSC7,EXOSC8,EXOSC9,PA2G4,PNPT1,XRN1"
Signaling by TGF beta (Reactome)	-5.30325043	5.940980507	-0.31871085	0.755812711	0.888000271	-6.188728057	"FURIN,SKI,SMAD2,SMAD3,SMAD4,SMAD6,SMAD7,SMURF1,SMURF2,TGFB1,TGFBR1,TGFBR2,UBE2D1,UBE2D3,ZFYVE9"
Neuroactive ligand-receptor interaction (KEGG)	-4.975238953	5.581469072	0.317488863	0.756715309	0.888000271	-6.18913198	"LPAR6,CALCRL,NMUR1,CYSLTR1,CGA,NPFFR2,GPR83,HRH3,CHRM1,CHRM2,CHRM3,CHRM4,CHRM5,CHRNA1,CHRNA2,CHRNA3,CHRNA4,CHRNA5,CHRNA7,CHRNB1,CHRNB2,CHRNB3,CHRNB4,CHRND,CHRNE,CHRNG,GRIN3A,GRIN3B,ADCYAP1R1,RXFP2,LTB4R,CNR1,CNR2,ADORA1,TAAR9,TAAR1,ADORA2A,ADORA2B,CRHR1,CRHR2,ADORA3,CSH1,ADRA1D,ADRA1B,ADRA1A,ADRA2A,ADRA2B,CTSG,ADRA2C,ADRB1,ADRB2,ADRB3,GPR156,DRD1,DRD2,DRD3,DRD4,DRD5,AGTR1,AGTR2,APLNR,S1PR1,LPAR1,S1PR3,EDNRA,EDNRB,F2,F2R,F2RL1,F2RL2,P2RX2,LPAR3,FPR1,FPR2,FPR3,NTSR2,FSHB,FSHR,GABBR1,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRR1,GABRR2,GALR1,GCGR,GH1,GH2,GHR,GHRHR,GHSR,GIPR,P2RY10,GLP1R,GLRA1,GLRA2,GLRB,GNRHR,NPBWR1,NPBWR2,PRLHR,UTS2R,LPAR4,MCHR1,GPR35,MLNR,P2RY8,GRIA1,GRIA2,GRIA3,GRIA4,GRID1,GRID2,GRIK1,GRIK2,GRIK3,GRIK4,GRIK5,GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN2D,NR3C1,GRM1,GRM2,GRM3,GRM4,GRM5,GRM6,GRM7,GRM8,GRPR,GZMA,HCRTR1,HCRTR2,TAAR6,HRH1,HRH2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HTR2A,HTR2B,HTR2C,HTR4,HTR5A,HTR6,HTR7,LEP,LEPR,LHB,LHCGR,MAS1,MC1R,MC2R,MC3R,MC4R,MC5R,MTNR1A,MTNR1B,NMBR,NPY1R,NPY2R,NPY5R,NTSR1,OPRD1,OPRK1,OPRL1,OPRM1,OXTR,P2RX1,P2RX3,P2RX4,P2RX5,P2RX7,P2RY1,P2RY2,P2RY4,P2RY6,P2RY11,PLG,S1PR5,P2RY13,AVPR1A,AVPR1B,AVPR2,NPY4R,CHRNA9,GABRQ,PRL,PRLR,PARD3,LTB4R2,PRSS1,PRSS2,PRSS3,NMUR2,CHRNA10,CYSLTR2,PTAFR,PTGDR,PTGER1,PTGER2,PTGER3,PTGER4,PTGFR,PTGIR,PTH1R,PTH2R,HRH4,RXFP1,BDKRB1,BDKRB2,SCTR,NPFFR1,SSTR1,SSTR2,SSTR3,SSTR4,SSTR5,BRS3,TACR2,TACR1,TACR3,TBXA2R,TSPO,THRA,THRB,C3AR1,TRHR,TSHB,TSHR,C5AR1,VIPR1,VIPR2,TRPV1,CALCR,GLRA3,TAAR8,MCHR2,KISS1R,GALR3,S1PR4,GALR2,CCKAR,CCKBR,CHRNA6,F2RL3,TAAR5,P2RX6,LPAR2,GPR50,TAAR2,S1PR2,GLP2R,GABBR2,P2RY14"
Focal Adhesion (Wikipathways)	-5.136394337	6.995544459	-0.316713471	0.757288233	0.888000271	-6.189387493	"AKT3,NA,TNK2,PAK4,LAMC3,TESK2,CHAD,COL1A1,COL1A2,COL2A1,COL3A1,COL4A1,COL4A2,COL4A4,COL4A6,COL5A1,COL5A2,COL6A2,COL11A1,COL11A2,COMP,CRK,DOCK1,EGF,EGFR,ELK1,ERBB2,AKT1,AKT2,FGR,VEGFD,ITGA11,FLNA,FLT1,FN1,PIP5K1C,PIK3R5,FYN,LAMA1,GRB2,RAPGEF1,GSK3B,PARVB,HCK,HGF,PIK3R4,BIRC2,BIRC3,TNC,IBSP,IGF1,IGF1R,ILK,ITGA6,ITGA2,ITGA2B,ITGA3,ITGA4,ITGA5,ITGA7,ITGA9,ITGAD,ITGAE,ITGAL,ITGAM,ITGAV,ITGAX,ITGB1,ITGB2,ARAF,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8,JUN,KDR,RHOA,RHOB,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMB3,LAMC1,LAMC2,ARHGAP5,MET,MYL6,MYLK,PPP1R12A,COL5A3,PAK1,PAK2,PAK3,PDGFA,PDGFB,PDGFRA,PDGFRB,PDPK1,PGF,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,SHC3,PELO,STYK1,MAPK1,MAPK4,MAPK6,MAPK7,MAPK8,MAPK9,PDGFC,MAP2K1,MAP2K2,MAP2K3,MAP2K5,MAP2K6,RELN,PAK6,PAK5,BAD,PTEN,PTK2,PTK6,PXN,RAC1,RAC2,RAC3,RAF1,RAP1A,RAP1B,CCND1,BCL2,ACTB,ROCK1,MAPK12,TNN,BLK,SEBOX,NA,SHC1,SOS1,SPP1,SRC,SRMS,BRAF,THBS1,THBS2,THBS3,THBS4,TLN1,ACTG1,TNR,TNXB,ROCK1P1,TXK,VASP,VAV1,VCL,VEGFB,VEGFC,VTN,VWF,ZYX,PDGFD,CAPN1,ITGA10,ITGA8,MYLK2,CAV1,CAV2,CAV3,ACTN1,TNK1,CCND2,CCND3,ROCK2,BCAR1,FARP2,CDC42"
